label,message
ham,Best Regards
Hmm,HackTheBox
Hmm,"Best Regards, HackTheBox"
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,Well welp is sort of a semiobscure internet thing
ham,"life alle mone,eppolum oru pole allalo"
ham,You could have seen me..i did't recognise you Face.:)
ham,Hey come online! Use msn... We are all there
ham,"Hi Chikku, send some nice msgs"
ham,Hey anyway i have to :-)
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
ham,That's the way you should stay oh.
ham,MMM ... Fuck .... Merry Christmas to me
ham,Howz pain?hope u r fine..
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
ham,Yes.mum lookin strong:)
ham,Howz that persons story
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Then u going ikea str aft dat?
ham,Your brother is a genius
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
ham,Are you willing to go for apps class.
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
ham,"Haha awesome, omw back now then"
ham,My battery is low babe
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
ham,We have all rounder:)so not required:)
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
ham,Meet after lunch la...
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,Must come later.. I normally bathe him in da afternoon mah..
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,"What part of ""don't initiate"" don't you understand"
ham,"Fuuuuck I need to stop sleepin, sup"
ham,"Ela kano.,il download, come wen ur free.."
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
ham,Tell them no need to investigate about me anywhere.
ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
ham,Great. Have a safe trip. Dont panic surrender all.
ham,Dear how you. Are you ok?
ham,Hi. Hope you had a good day. Have a better night.
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
spam,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
